시설 id,레벨 id,시설 레벨,필요 골드,스킬 설명,값_01
facility_id,level_id,facility_level,gold_needed,skill_explanation,value
int,int,int,string,string,float
12001,1200101,1,10a,골드 획득량 { } 상승,406
12001,1200102,2,#VALUE!,골드 획득량 { } 상승,408
12001,1200103,3,#VALUE!,골드 획득량 { } 상승,410
12001,1200104,4,#VALUE!,골드 획득량 { } 상승,412
12001,1200105,5,#VALUE!,골드 획득량 { } 상승,414
12001,1200106,6,#VALUE!,골드 획득량 { } 상승,416
12001,1200107,7,#VALUE!,골드 획득량 { } 상승,418
12001,1200108,8,#VALUE!,골드 획득량 { } 상승,420
12001,1200109,9,#VALUE!,골드 획득량 { } 상승,422
12001,1200110,10,#VALUE!,골드 획득량 { } 상승,424
12001,1200111,11,#VALUE!,골드 획득량 { } 상승,426
12001,1200112,12,#VALUE!,골드 획득량 { } 상승,428
12001,1200113,13,#VALUE!,골드 획득량 { } 상승,430
12001,1200114,14,#VALUE!,골드 획득량 { } 상승,432
12001,1200115,15,#VALUE!,골드 획득량 { } 상승,434
12001,1200116,16,#VALUE!,골드 획득량 { } 상승,436
12001,1200117,17,#VALUE!,골드 획득량 { } 상승,438
12001,1200118,18,#VALUE!,골드 획득량 { } 상승,440
12001,1200119,19,#VALUE!,골드 획득량 { } 상승,442
12001,1200120,20,#VALUE!,골드 획득량 { } 상승,444
12001,1200121,21,#VALUE!,골드 획득량 { } 상승,446
12001,1200122,22,#VALUE!,골드 획득량 { } 상승,448
12001,1200123,23,#VALUE!,골드 획득량 { } 상승,450
12001,1200124,24,#VALUE!,골드 획득량 { } 상승,452
12001,1200125,25,#VALUE!,골드 획득량 { } 상승,454
12001,1200126,26,#VALUE!,골드 획득량 { } 상승,456
12001,1200127,27,#VALUE!,골드 획득량 { } 상승,458
12001,1200128,28,#VALUE!,골드 획득량 { } 상승,460
12001,1200129,29,#VALUE!,골드 획득량 { } 상승,462
12001,1200130,30,#VALUE!,골드 획득량 { } 상승,464
12001,1200131,31,#VALUE!,골드 획득량 { } 상승,466
12001,1200132,32,#VALUE!,골드 획득량 { } 상승,468
12001,1200133,33,#VALUE!,골드 획득량 { } 상승,470
12001,1200134,34,#VALUE!,골드 획득량 { } 상승,472
12001,1200135,35,#VALUE!,골드 획득량 { } 상승,474
12001,1200136,36,#VALUE!,골드 획득량 { } 상승,476
12001,1200137,37,#VALUE!,골드 획득량 { } 상승,478
12001,1200138,38,#VALUE!,골드 획득량 { } 상승,480
12001,1200139,39,#VALUE!,골드 획득량 { } 상승,482
12001,1200140,40,#VALUE!,골드 획득량 { } 상승,484
12001,1200141,41,#VALUE!,골드 획득량 { } 상승,486
12001,1200142,42,#VALUE!,골드 획득량 { } 상승,488
12001,1200143,43,#VALUE!,골드 획득량 { } 상승,490
12001,1200144,44,#VALUE!,골드 획득량 { } 상승,492
12001,1200145,45,#VALUE!,골드 획득량 { } 상승,494
12001,1200146,46,#VALUE!,골드 획득량 { } 상승,496
12001,1200147,47,#VALUE!,골드 획득량 { } 상승,498
12001,1200148,48,#VALUE!,골드 획득량 { } 상승,500
12001,1200149,49,#VALUE!,골드 획득량 { } 상승,502
12001,1200150,50,#VALUE!,골드 획득량 { } 상승,504
